"duration","age","town_size","gender","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","attitude_government","ideology","interest","attention_check","post_emotion_good","post_emotion_happy","post_emotion_tired","post_emotion_tense","panas_1","panas_2","panas_3","panas_4","panas_5","panas_6","panas_7","panas_8","panas_9","panas_10","ft_inparty_supporter","ft_outparty_supporter","ft_govern_sup","ft_govern_opp","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","ft_neonazi","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","pids_1","pids_2","pids_3","pids_4","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3R","trait_4R","trait_5R","trait_6"
9.85,54,1,1,6,7,7,3,6,"supporter",8,5,2,7,7,5,6,6,6,5,5,4,5,6,6,6,5,71,17,78,16,78,17,47,74,72,17,32,1,3,4,4,3,4,3,1,"HappyP",5,5,5,5,5,5,5,5,4,4,4,6,5,4,4,4,5
13.0333333333333,50,4,1,6,7,7,7,7,"supporter",2,4,2,7,7,7,7,6,7,7,6,7,7,7,7,7,7,88,8,49,81,90,18,78,4,82,95,1,0,1,3,2,1,2,2,1,"HappyQ",4,2,3,2,6,6,7,6,6,6,6,6,6,2,2,1,6
17.8666666666667,62,1,2,3,4,5,6,4,"supporter",8,4,2,4,5,3,4,4,6,4,4,5,4,4,5,5,5,95,29,98,8,90,9,50,72,50,51,45,1,2,3,1,3,3,1,2,"Control",6,7,6,5,1,1,2,2,1,2,2,6,3,6,4,5,1
11.55,50,3,2,2,7,7,7,7,"opponent",0,5,2,7,7,7,7,6,6,6,6,6,6,6,7,7,6,98,0,1,100,97,1,97,1,70,68,1,1,3,1,1,1,1,1,1,"HappyW",7,7,7,5,1,1,1,1,4,4,4,4,1,7,7,4,4
14.7166666666667,23,3,2,4,6,6,3,5,"opponent",10,3,2,6,2,3,6,3,3,5,3,2,6,4,6,6,5,65,30,30,70,70,15,35,90,15,15,40,0,2,4,2,2,1,1,2,"HappyP",6,5,5,5,3,2,5,4,5,5,5,3,2,5,6,3,1
10.9833333333333,35,3,1,6,2,3,2,2,"opponent",6,3,2,3,2,2,2,6,5,7,5,5,5,6,3,6,4,100,0,42,100,100,0,53,47,87,83,0,0,1,1,1,1,1,5,1,"HappyP",5,2,6,1,2,2,3,2,2,5,2,3,1,6,4,4,2
13,19,4,2,2,3,3,1,4,"opponent",5,5,2,2,2,1,4,4,4,5,2,2,6,4,4,4,5,66,30,36,58,65,40,52,58,35,52,43,4,3,3,2,2,3,1,2,"Control",4,5,4,2,5,5,5,4,5,6,5,4,4,4,4,4,5
10.3666666666667,40,1,1,3,5,5,2,3,"supporter",5,7,2,7,6,6,7,7,7,4,7,7,7,7,7,7,7,100,0,100,44,100,0,47,46,0,39,100,0,4,4,1,3,4,1,1,"HappyP",4,7,7,7,6,6,6,6,6,6,6,4,4,4,4,4,4
12.5166666666667,53,1,1,6,7,7,7,7,"opponent",3,4,2,7,7,7,7,4,6,4,4,4,5,6,4,4,5,80,21,20,71,76,20,70,18,50,70,1,3,4,3,2,1,3,1,2,"Control",5,5,4,5,2,2,3,2,5,5,5,4,3,5,5,4,3
21.65,40,2,1,3,1,1,1,1,"opponent",0,5,2,1,1,1,1,1,4,1,1,1,1,1,1,7,1,100,1,1,100,100,1,100,1,1,100,1,1,3,3,1,3,3,1,5,"Control",7,7,7,4,1,1,1,1,4,4,4,1,1,1,4,1,1
