"duration","age","gender","race","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","post_emotion_good","post_emotion_happy","post_emotion_tired","post_emotion_tense","panas_1","panas_2","panas_3","panas_4","panas_5","panas_6","panas_7","panas_8","panas_9","panas_10","ft_rep_sup","ft_dem_sup","ft_rep","ft_dem","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_neonazi","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","partisanship","condition"
232,31,1,6,5,5,5,1,7,6,7,6,7,10,6,2,4,5,1,4,4,7,7,6,7,6,5,7,5,5,88,98,99,92,99,85,96,95,91,7,7,7,6,7,7,7,5,4,7,7,2,2,4,4,4,5,4,4,4,"Democrat","HappyP"
346,28,1,6,7,5,5,3,6,5,3,6,6,0,7,2,5,6,2,5,2,3,3,3,3,4,1,4,4,5,0,74,0,64,100,0,100,77,0,1,1,1,1,2,4,2,2,1,1,7,7,6,1,1,1,1,1,1,1,"Democrat","HappyW"
398,32,0,6,6,7,7,4,7,4,4,6,4,7,4,2,7,6,6,6,4,5,5,6,6,4,6,6,5,4,70,19,66,69,26,37,74,67,58,4,3,3,4,6,7,3,5,5,4,4,3,3,4,3,5,4,3,4,1,"Republican","HappyQ"
388,28,1,6,6,6,6,6,6,2,3,2,5,8,3,2,6,6,6,6,3,5,6,4,3,6,2,6,6,5,60,60,54,25,60,60,60,60,3,3,4,3,5,7,6,6,5,6,4,3,6,2,1,1,1,1,1,2,1,"Republican","Control"
509,68,0,6,5,1,1,5,1,7,6,7,7,3,7,2,1,1,5,1,3,4,4,3,3,4,4,4,3,4,20,90,7,90,91,18,90,75,0,2,2,2,2,3,3,3,2,1,2,7,6,6,1,1,1,1,1,1,1,"Democrat","HappyP"
597,64,0,6,7,7,6,7,6,6,6,6,5,8,4,2,7,6,7,7,6,6,6,5,6,6,5,5,6,6,74,35,76,19,10,77,42,40,5,4,4,4,4,5,5,5,4,3,4,5,5,4,2,1,1,1,2,1,1,"Republican","HappyP"
590,70,0,6,6,7,7,7,7,6,6,6,5,5,6,2,7,7,7,7,5,5,5,5,5,5,5,5,5,5,11,87,10,86,87,13,75,88,0,2,2,4,3,3,3,3,4,1,2,6,5,3,2,1,1,1,1,1,1,"Democrat","HappyW"
390,45,1,6,5,5,5,4,5,2,1,2,3,7,7,2,5,5,4,5,3,4,4,3,3,4,3,4,4,3,79,20,81,0,0,62,40,0,0,4,4,6,5,7,7,7,5,5,5,2,3,1,2,3,2,5,4,2,1,"Democrat","HappyQ"
382,72,1,6,6,7,7,6,7,5,4,4,4,5,6,2,7,7,6,7,6,5,5,5,5,5,4,5,5,5,82,17,84,11,40,76,60,65,0,4,4,4,4,4,5,5,4,4,4,5,4,4,3,2,3,2,4,2,3,"Republican","Control"
452,55,1,6,7,5,4,5,5,6,6,6,5,8,5,2,6,5,5,5,5,5,5,4,4,5,5,4,5,4,70,40,50,30,30,70,50,50,0,4,4,4,4,5,5,5,4,4,4,4,4,4,4,3,2,3,3,2,1,"Republican","HappyP"
470,67,1,6,4,6,5,6,5,6,6,6,5,7,4,5,4,5,5,7,3,5,5,4,4,5,4,6,5,3,26,90,25,89,55,24,58,59,9,4,5,5,4,4,4,4,4,3,4,3,4,3,1,1,2,1,2,1,2,"Democrat","HappyQ"
520,81,0,6,7,6,5,2,6,6,5,6,7,10,7,2,5,5,2,5,6,7,6,5,5,5,7,6,5,5,81,0,77,0,0,89,14,23,0,3,2,4,4,4,3,2,3,1,3,6,6,5,4,4,3,3,4,2,2,"Republican","HappyW"
523,76,0,6,6,6,5,5,6,4,3,6,5,3,6,2,6,5,5,5,4,5,5,4,4,6,4,4,4,6,29,85,6,85,62,31,85,75,0,5,5,5,5,4,4,4,4,3,5,5,5,5,3,1,1,1,2,1,1,"Democrat","Control"
525,73,0,6,7,7,7,7,7,6,1,6,1,5,7,2,7,7,7,7,6,7,7,6,6,7,6,7,7,7,70,90,85,90,90,60,90,90,0,4,5,5,4,4,7,7,6,5,5,4,3,3,2,1,1,1,1,1,1,"Republican","HappyP"
541,70,0,6,6,7,5,7,7,2,5,5,4,1,7,2,7,6,7,7,4,6,4,1,4,7,7,6,4,6,33,100,0,90,100,15,51,83,0,3,3,3,3,2,4,3,4,2,4,7,6,5,1,1,1,1,1,1,2,"Democrat","HappyQ"
612,79,0,6,6,7,7,7,7,7,7,7,6,4,6,2,7,7,7,7,5,5,6,4,4,6,5,5,4,5,15,87,0,100,77,50,51,67,0,2,4,3,4,1,4,4,3,3,5,3,3,3,4,2,1,1,2,1,1,"Democrat","Control"
713,72,0,6,6,6,6,1,1,7,5,7,4,9,6,2,6,1,1,1,6,6,6,6,4,6,6,6,6,6,90,0,100,0,0,90,40,20,0,1,1,1,2,6,6,6,4,1,1,7,6,7,2,4,1,4,3,1,1,"Republican","HappyQ"
718,71,0,6,6,6,6,5,5,5,6,5,4,7,4,2,6,6,6,6,4,5,3,3,4,6,4,6,3,5,61,43,61,36,24,80,46,19,18,4,2,3,3,4,2,2,3,2,3,4,4,5,3,2,2,4,4,2,2,"Republican","HappyW"
180,36,1,6,5,4,4,4,4,4,4,4,4,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,82,8,74,9,17,74,21,58,13,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,"Republican","Control"
319,56,1,6,6,4,5,2,5,7,5,7,5,1,7,2,4,5,2,3,2,3,3,3,3,4,3,4,3,5,11,89,12,98,77,29,98,70,9,4,4,3,4,4,3,4,4,3,3,5,6,5,1,1,1,1,1,1,1,"Democrat","Control"
350,32,0,6,5,4,3,2,3,5,4,5,5,8,5,2,4,3,2,3,5,5,3,3,4,3,4,5,5,3,73,21,74,39,17,68,24,39,27,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,"Republican","Control"
259,57,1,6,5,5,7,4,7,1,1,1,1,10,4,2,7,5,4,5,3,6,4,3,2,6,1,5,2,7,0,0,0,0,0,3,20,0,0,4,4,4,4,7,7,7,3,1,3,5,4,4,5,1,5,4,4,4,1,"Republican","Control"
460,68,0,6,6,4,5,5,4,6,5,6,4,4,6,2,5,5,5,5,5,5,5,4,4,5,4,4,4,5,56,53,61,44,45,55,55,54,1,5,5,5,5,5,5,5,4,3,3,6,4,4,1,1,1,4,1,1,1,"Republican","HappyP"
459,70,0,6,5,7,7,5,7,7,6,7,6,10,6,2,7,7,6,7,5,5,6,5,5,6,6,5,6,6,95,10,95,10,20,90,40,65,0,2,3,3,2,4,4,4,5,2,3,3,5,4,2,3,4,3,3,4,1,"Republican","HappyW"
432,64,0,6,6,7,6,6,6,6,5,5,3,9,6,2,7,6,7,6,5,5,4,4,5,5,5,5,5,5,62,35,67,35,20,63,36,46,0,4,4,3,5,5,5,5,4,3,4,5,4,3,3,2,1,1,3,1,1,"Republican","HappyP"
380,59,1,6,3,5,5,5,5,3,3,3,2,5,1,2,6,6,6,6,5,5,5,5,5,5,5,5,5,5,70,70,71,69,73,70,59,70,7,5,5,5,5,4,4,4,5,5,5,3,3,3,2,2,2,1,2,2,1,"Republican","HappyW"
499,67,0,6,6,6,6,5,6,5,5,5,4,3,2,2,6,6,6,6,5,5,5,4,4,5,3,5,5,5,10,65,10,65,65,20,55,60,0,5,5,5,5,4,3,4,3,3,4,5,5,5,2,2,2,2,4,3,1,"Democrat","HappyP"
488,71,1,6,5,7,7,6,6,5,5,6,5,10,7,2,7,6,6,6,7,7,7,6,7,7,7,7,7,7,100,0,96,0,0,100,30,0,0,4,2,4,4,6,6,4,4,2,4,7,5,4,3,3,2,4,2,2,1,"Republican","HappyW"
332,56,0,6,4,5,5,3,4,7,4,4,3,5,5,2,5,5,3,4,2,4,4,1,1,5,5,4,4,6,54,56,40,82,86,47,54,55,0,4,4,6,4,7,7,7,4,3,4,4,4,4,1,1,1,1,1,1,1,"Democrat","Control"
567,68,0,6,6,5,5,5,5,6,1,6,6,0,7,2,5,5,5,5,4,6,3,3,4,6,6,4,4,6,0,100,0,100,100,0,83,82,0,2,2,2,2,2,2,2,2,1,2,7,7,7,1,1,1,1,1,1,3,"Democrat","HappyP"
522,79,0,6,5,7,7,7,7,7,4,7,4,1,6,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,100,0,100,0,0,100,0,34,0,1,1,1,2,5,5,5,2,1,1,7,6,5,4,3,4,4,2,4,1,"Republican","HappyQ"
304,57,1,6,7,7,7,7,7,6,4,6,3,5,6,2,7,7,7,7,7,7,7,7,7,7,4,7,7,7,94,94,93,92,94,94,94,95,0,7,7,7,7,7,7,7,7,7,7,2,2,2,1,1,1,1,1,1,2,"Republican","HappyP"
556,67,1,6,7,7,7,7,7,7,6,6,4,5,4,2,7,7,7,7,6,6,6,5,6,6,6,6,6,6,20,80,20,80,52,53,81,85,0,4,4,5,4,5,4,5,4,2,3,5,4,4,4,1,1,1,3,1,2,"Democrat","HappyP"
514,62,1,6,3,7,5,4,7,4,4,4,1,5,3,2,7,6,5,7,5,5,5,4,5,5,5,5,6,5,51,51,53,51,51,51,21,31,51,4,4,4,4,7,7,7,4,4,4,4,4,4,4,3,3,3,3,2,3,"Democrat","HappyP"
515,68,1,6,5,7,7,7,7,7,6,7,7,2,4,2,7,7,7,7,6,6,6,6,6,6,6,6,6,6,0,100,0,100,97,0,93,98,0,1,1,1,1,1,2,1,1,1,1,7,7,7,1,1,1,1,3,1,4,"Democrat","HappyW"
422,76,0,6,4,6,6,5,6,7,7,7,5,1,6,2,7,7,7,7,6,6,6,6,6,6,6,6,6,6,2,92,0,90,92,22,91,87,0,4,3,3,4,4,4,3,4,1,3,3,6,5,1,1,1,1,3,2,1,"Democrat","HappyW"
360,40,0,6,6,7,7,7,7,7,5,7,5,3,6,2,7,7,7,7,6,7,6,6,6,5,6,6,6,7,20,84,0,80,85,1,82,58,0,4,2,4,2,7,5,7,1,1,4,7,6,7,1,1,1,1,1,1,1,"Democrat","HappyP"
632,55,1,6,5,7,5,4,5,7,4,7,4,3,6,2,7,6,5,5,3,5,4,3,4,4,3,5,3,4,36,68,21,65,68,36,67,71,0,5,5,5,5,6,6,6,6,3,6,5,3,2,1,1,1,1,1,1,1,"Democrat","HappyQ"
376,64,1,6,7,7,6,4,7,7,6,7,6,2,7,2,6,7,4,7,5,6,6,3,3,7,1,5,4,6,3,97,0,100,100,17,100,100,0,1,1,1,1,6,6,6,1,1,3,1,2,2,3,1,1,1,1,1,1,"Democrat","HappyW"
493,65,1,6,5,4,3,2,4,6,6,7,7,3,7,2,4,3,2,3,3,4,5,3,3,4,3,4,5,3,0,71,0,71,73,0,60,59,0,4,3,4,4,2,3,2,4,6,4,7,6,4,2,2,2,1,2,1,1,"Democrat","Control"
452,69,0,6,7,2,2,1,1,3,2,4,6,2,7,2,7,3,1,7,1,5,7,3,2,4,7,5,4,7,0,100,0,100,100,0,82,72,0,1,1,1,1,1,1,2,1,1,1,7,7,7,1,1,1,1,4,1,1,"Democrat","HappyP"
646,74,0,6,7,6,2,2,5,5,5,6,4,8,6,2,6,2,3,4,5,4,5,5,4,4,2,3,5,5,85,25,90,0,10,100,60,51,0,2,4,4,2,3,5,5,4,1,2,6,4,4,3,1,1,1,1,1,1,"Republican","Control"
602,79,0,6,7,6,6,5,6,5,3,4,1,5,6,2,6,6,5,6,6,6,5,3,5,6,4,5,6,6,44,64,41,76,78,61,59,89,0,6,6,6,6,4,4,4,5,5,5,4,3,4,2,1,1,1,1,1,1,"Democrat","HappyP"
444,53,0,6,4,7,7,4,7,6,5,6,4,6,2,2,7,7,7,7,6,6,6,6,6,6,6,6,6,6,73,7,81,6,11,82,7,30,0,2,2,3,1,4,5,4,4,2,2,6,7,4,3,2,2,2,4,2,3,"Republican","HappyQ"
557,68,1,6,6,7,6,6,5,7,6,7,7,2,7,2,7,6,6,6,5,5,5,4,5,6,6,4,5,7,10,100,0,90,91,10,75,90,0,4,4,2,3,2,2,4,4,2,4,5,5,5,1,1,1,1,1,1,1,"Democrat","HappyP"
611,66,1,6,5,6,6,6,6,6,6,4,3,5,3,2,6,5,7,7,2,5,6,2,5,6,4,5,3,6,41,63,42,79,67,76,56,63,0,4,3,3,4,4,4,4,5,5,5,2,2,2,5,4,2,4,5,1,2,"Democrat","HappyQ"
632,75,1,6,3,4,4,3,4,4,4,4,3,5,4,2,4,4,3,3,2,3,4,1,3,4,1,4,4,4,51,51,51,51,51,51,0,33,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,2,2,"Democrat","HappyQ"
628,59,0,6,6,7,5,7,6,5,3,5,5,9,7,2,7,6,7,6,4,5,5,4,4,5,5,5,5,5,95,0,85,0,0,100,30,0,0,1,1,1,1,2,3,2,1,1,1,7,7,7,5,4,3,5,4,3,1,"Republican","HappyW"
239,57,1,6,3,4,4,4,4,4,3,4,4,5,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,10,13,15,15,13,15,13,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,"Democrat","HappyQ"
525,60,1,3,6,6,6,6,6,5,5,6,5,3,6,2,6,6,6,6,5,6,5,4,5,6,6,4,4,6,36,75,28,61,75,36,72,74,0,4,4,4,4,4,4,4,3,4,4,5,4,4,4,1,1,1,1,1,4,"Democrat","HappyQ"
721,72,0,6,5,7,7,7,7,6,6,6,1,5,5,2,7,7,7,7,5,6,5,5,4,5,5,5,5,5,0,90,0,91,72,69,51,71,0,4,1,4,4,1,7,4,4,2,1,6,6,2,1,3,3,1,4,2,1,"Democrat","Control"
414,59,1,6,5,3,2,1,2,7,7,7,7,9,6,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,100,0,100,0,0,100,54,55,0,1,1,1,1,1,2,1,4,1,1,5,5,1,4,4,4,4,4,4,1,"Republican","HappyW"
368,63,0,6,6,7,7,4,7,7,7,7,5,0,7,2,7,7,5,7,7,7,7,7,7,7,7,7,7,7,20,100,1,100,100,19,100,100,0,5,3,5,6,3,3,3,2,2,3,7,7,7,1,1,1,1,3,1,1,"Democrat","Control"
484,39,1,4,4,7,7,1,1,7,7,7,6,5,1,2,7,7,1,1,7,7,7,7,7,7,7,7,7,7,0,98,0,100,83,100,73,81,0,1,1,1,7,7,7,7,7,7,7,1,1,1,5,1,5,1,1,5,1,"Democrat","HappyQ"
647,52,1,4,6,7,7,7,7,7,5,7,6,9,2,2,7,7,7,7,4,4,7,1,4,6,5,7,7,6,0,67,0,73,64,34,36,7,0,1,1,1,1,1,1,1,1,1,1,7,7,6,3,1,4,2,4,3,1,"Democrat","Control"
684,66,0,6,5,7,6,6,7,7,6,7,6,10,5,2,7,7,6,7,4,5,6,4,5,6,4,4,5,6,90,30,100,0,30,100,50,50,20,1,1,1,1,6,7,6,3,1,2,7,6,4,4,1,1,2,1,1,1,"Republican","HappyP"
681,69,1,6,6,6,7,6,7,7,7,7,6,1,5,2,6,7,6,7,4,5,5,3,5,6,4,3,6,5,0,95,0,96,99,6,70,100,0,4,4,4,4,3,3,5,4,1,4,5,6,4,1,2,1,1,1,1,3,"Democrat","Control"
475,79,1,6,6,7,7,7,7,5,5,7,5,5,4,2,7,7,7,7,4,6,6,4,4,6,6,4,4,6,10,93,10,90,80,40,70,100,0,3,3,3,3,4,4,4,5,5,3,3,3,3,1,1,1,1,1,1,4,"Democrat","Control"
544,79,0,6,3,5,5,5,1,7,1,7,7,10,4,2,3,6,6,1,6,5,7,5,5,6,6,5,5,6,100,0,100,0,0,100,60,52,0,3,3,3,3,3,3,3,4,3,4,5,4,4,4,5,3,3,4,2,2,"Republican","Control"
532,70,1,6,6,6,6,3,6,5,4,4,5,7,4,2,6,6,3,6,3,6,5,3,5,4,3,3,5,6,70,13,66,9,8,70,39,16,0,5,4,5,5,6,6,6,4,3,5,5,4,3,3,2,1,2,2,1,1,"Republican","HappyW"
612,61,1,6,6,7,5,4,4,7,6,7,7,8,6,2,7,6,6,6,5,6,5,3,4,5,3,4,5,4,70,15,70,0,25,75,51,0,0,6,6,4,7,7,7,7,5,3,4,5,4,4,2,3,1,4,1,1,2,"Republican","HappyW"
428,67,1,6,6,5,6,3,5,5,5,4,2,6,5,2,5,6,3,5,4,5,3,3,4,5,4,4,4,4,60,42,69,46,44,77,61,85,0,6,6,6,6,7,7,7,5,5,5,4,4,4,2,2,1,4,3,1,2,"Republican","HappyQ"
760,77,1,6,6,4,2,4,4,2,1,4,3,5,4,2,4,4,4,5,3,4,5,1,3,4,2,4,2,5,50,50,33,14,43,32,50,51,4,7,7,7,6,6,6,5,6,5,6,5,2,1,2,1,1,3,1,1,1,"Republican","HappyQ"
353,63,0,6,7,6,6,5,6,7,5,7,6,0,6,2,6,6,5,6,6,6,6,6,6,6,6,6,6,6,0,100,0,100,100,0,90,100,0,4,4,4,4,4,4,4,4,2,4,5,5,5,1,1,3,5,4,3,1,"Democrat","Control"
587,86,1,6,5,6,6,6,7,6,5,6,4,1,7,2,6,6,5,6,6,7,7,5,4,6,4,6,6,5,10,75,9,75,75,30,57,53,1,2,1,2,6,2,2,2,2,1,4,5,7,4,4,2,4,1,3,1,2,"Democrat","Control"
595,73,1,6,5,5,4,5,5,5,4,2,2,5,6,2,5,5,5,5,5,5,4,5,4,5,4,5,4,5,52,52,15,29,52,52,52,52,15,6,6,6,6,6,6,6,6,6,6,4,4,3,1,2,1,1,1,1,1,"Republican","HappyW"
798,68,0,6,5,7,7,7,7,7,7,7,1,5,4,2,7,7,7,7,7,7,7,7,7,6,6,7,7,7,40,91,18,94,62,73,3,86,0,6,6,6,6,7,7,7,6,4,6,2,4,2,5,3,1,2,5,1,1,"Democrat","Control"
407,76,0,6,3,7,7,7,7,6,6,6,6,8,6,2,7,7,7,7,6,6,6,6,6,6,6,6,6,6,100,32,100,16,14,100,38,32,19,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,2,2,"Republican","HappyP"
567,74,0,6,6,7,7,6,5,6,5,6,5,2,6,2,7,5,5,7,4,5,4,3,4,4,3,4,4,5,46,87,53,82,81,58,54,84,2,5,6,5,5,4,5,4,5,4,5,5,3,3,1,1,1,1,1,1,2,"Democrat","HappyP"
369,50,1,3,6,4,4,2,2,4,4,4,4,5,2,2,4,4,2,3,4,4,4,4,4,4,4,4,4,4,59,37,69,42,51,51,51,51,51,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,"Democrat","HappyQ"
563,56,1,6,4,5,5,1,5,4,4,5,4,5,4,2,5,5,5,5,4,4,4,4,4,4,4,4,4,4,82,44,90,56,73,60,55,55,9,4,4,5,4,7,7,7,4,4,4,4,4,4,3,3,3,3,3,2,3,"Republican","HappyQ"
430,60,0,6,6,6,6,5,6,5,5,4,4,5,4,2,6,6,5,6,4,5,5,4,4,5,5,5,5,4,58,46,61,42,47,61,59,38,17,5,5,5,3,4,4,5,4,4,4,5,4,4,1,1,2,2,4,2,2,"Republican","HappyW"
666,73,0,6,5,6,6,7,7,5,3,6,2,3,5,2,7,7,7,7,6,6,6,5,6,7,7,6,7,6,19,82,29,81,77,41,42,63,0,4,4,5,5,6,7,6,4,4,4,4,4,4,4,2,2,2,4,2,1,"Democrat","HappyP"
530,74,1,6,3,6,6,6,6,5,4,4,4,5,4,2,6,6,6,6,4,4,4,4,4,6,4,4,4,6,60,40,60,40,40,80,45,30,19,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,2,2,"Republican","Control"
772,66,1,6,3,7,7,3,7,2,3,4,1,5,2,2,7,7,5,7,7,7,7,6,7,6,6,6,6,7,34,47,16,46,44,32,55,54,46,5,5,5,5,4,3,3,5,5,5,3,3,3,2,1,4,1,2,3,1,"Democrat","HappyP"
411,66,0,6,7,6,6,6,6,7,5,6,6,2,7,2,6,6,6,6,5,6,6,4,4,6,5,5,5,5,10,90,0,90,85,0,90,80,0,2,2,2,2,4,4,4,2,1,2,7,6,7,1,1,1,1,1,1,1,"Democrat","Control"
546,71,1,4,5,7,7,7,7,7,7,7,4,5,2,2,7,7,7,7,3,4,3,4,3,3,3,4,3,3,20,84,0,83,52,52,83,55,0,4,4,4,4,3,4,5,4,3,3,5,4,4,3,2,2,1,2,1,1,"Democrat","HappyQ"
386,56,0,6,6,7,7,7,7,7,7,7,7,9,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,100,0,100,0,0,100,39,30,0,1,1,2,1,2,4,3,1,1,1,7,7,6,3,4,1,5,4,2,1,"Republican","HappyP"
386,71,1,6,6,5,5,5,5,6,5,6,6,3,5,2,6,6,6,6,5,6,5,5,6,6,5,5,5,6,32,78,32,77,73,40,76,77,0,5,4,5,4,6,6,6,5,2,3,5,5,5,2,1,1,1,2,1,1,"Democrat","HappyP"
278,33,1,6,7,7,7,5,7,6,6,6,6,2,5,2,7,7,6,7,6,5,6,5,5,5,5,6,5,5,37,71,38,75,83,34,76,73,27,3,3,3,3,4,4,4,4,3,4,4,5,3,2,2,2,2,2,2,2,"Democrat","HappyP"
917,57,1,6,6,5,5,4,5,5,6,6,2,2,5,2,5,6,5,5,2,5,4,2,2,5,3,5,2,6,10,76,0,81,65,50,81,91,0,5,5,4,4,4,5,3,6,2,4,4,5,3,1,1,1,1,1,1,2,"Democrat","HappyQ"
704,70,1,6,6,7,7,7,7,4,6,6,4,7,4,2,7,7,7,7,7,7,7,6,6,7,7,7,7,7,70,43,71,37,45,76,45,65,0,4,4,4,4,6,5,6,4,4,4,4,4,4,1,1,1,1,1,1,1,"Republican","HappyW"
720,55,1,6,6,6,5,4,6,7,7,7,5,2,6,2,5,5,5,5,5,6,6,4,3,6,5,6,5,5,0,100,0,89,37,42,41,100,0,1,1,1,1,4,5,3,4,1,1,1,6,1,3,2,1,1,2,1,2,"Democrat","HappyQ"
841,76,0,6,5,6,6,7,6,7,7,7,7,10,7,2,6,6,7,6,6,6,6,5,6,7,5,6,7,7,100,3,99,0,11,100,15,6,5,3,4,3,4,4,4,4,4,1,2,7,7,6,4,5,1,5,2,1,4,"Republican","Control"
839,74,0,6,6,7,6,4,6,4,3,3,1,6,5,2,6,7,4,6,4,5,4,3,3,6,5,3,5,6,56,51,32,13,55,69,68,47,2,5,4,5,4,6,6,6,4,3,4,4,4,3,3,1,1,2,3,1,3,"Republican","HappyQ"
475,71,0,6,7,6,6,5,7,5,3,5,5,6,7,2,6,6,5,7,6,7,5,5,6,7,6,6,6,7,69,32,78,27,30,85,46,16,44,6,6,6,5,7,6,7,4,3,5,4,5,2,4,4,2,2,3,1,3,"Republican","HappyQ"
691,69,0,5,6,7,6,7,7,5,5,5,4,5,7,2,7,7,7,7,6,6,6,6,7,7,7,6,7,7,71,36,81,19,28,100,52,65,0,6,7,7,7,7,7,7,7,7,7,1,3,1,4,4,1,4,3,1,1,"Democrat","HappyP"
590,71,0,6,6,6,4,5,6,5,3,5,5,7,5,2,5,6,5,6,5,4,5,3,4,5,4,5,5,5,75,25,75,26,30,75,65,51,0,5,5,5,4,4,4,4,5,3,4,5,5,4,4,4,1,3,4,1,2,"Republican","HappyP"
943,74,1,6,3,7,6,5,6,4,3,4,2,5,4,2,6,6,5,6,4,3,5,3,4,6,3,5,5,4,32,64,40,60,51,61,47,55,13,4,4,5,4,6,6,5,5,4,5,5,4,3,3,3,2,1,2,1,2,"Democrat","Control"
611,69,1,6,6,7,7,7,7,7,7,7,6,10,7,2,7,7,7,7,6,7,6,5,4,7,7,4,5,7,0,100,0,100,97,35,65,100,0,2,2,2,2,4,5,5,4,2,2,6,6,6,3,1,2,1,4,1,4,"Democrat","HappyQ"
392,69,1,6,5,7,5,7,7,5,3,3,4,5,4,2,7,5,7,7,5,5,5,5,5,5,4,5,5,5,61,61,51,66,72,60,71,42,16,6,6,6,6,4,4,4,6,6,6,2,2,2,1,1,2,1,1,1,1,"Republican","Control"
651,76,0,6,7,5,3,5,6,5,2,3,2,6,2,2,5,5,6,5,3,3,4,1,2,5,5,2,4,5,40,45,39,25,44,61,61,24,0,5,5,5,5,5,5,5,4,3,4,4,2,2,1,1,1,1,1,1,1,"Republican","HappyW"
785,74,0,6,7,7,7,7,7,6,6,6,6,2,7,2,7,7,7,7,4,4,4,4,4,4,4,4,4,4,10,86,14,91,85,14,80,81,10,3,3,3,5,4,4,4,3,5,5,5,5,5,4,2,2,1,3,1,1,"Democrat","HappyQ"
608,71,1,6,7,5,5,3,5,6,6,7,5,1,4,2,6,6,3,2,5,5,3,3,5,5,5,3,3,5,10,100,6,92,94,15,92,93,0,5,5,5,4,5,4,5,4,2,5,5,5,5,2,1,1,1,2,1,3,"Democrat","HappyW"
524,57,1,6,6,6,6,3,6,2,2,5,2,5,1,2,6,6,3,6,4,4,4,3,3,5,3,5,4,5,65,64,64,65,64,70,51,55,13,5,5,5,5,6,6,6,5,5,5,2,4,3,2,1,1,2,1,1,1,"Democrat","HappyP"
748,71,1,6,7,7,7,5,7,7,1,7,4,7,7,2,7,7,7,7,5,5,5,4,5,7,5,5,5,5,80,20,60,20,0,100,51,20,0,5,5,5,5,5,5,5,6,3,5,4,3,2,2,5,2,5,5,2,1,"Republican","HappyP"
798,66,0,6,7,5,5,3,6,7,5,7,6,0,6,2,5,5,3,6,6,6,6,4,5,5,3,6,5,5,3,95,0,95,96,13,98,96,0,3,3,4,2,5,5,5,4,2,3,5,5,4,2,1,1,1,1,1,1,"Democrat","HappyW"
559,77,0,6,7,4,4,4,5,6,5,5,5,7,6,2,5,4,5,5,3,4,3,3,3,4,3,3,3,4,65,35,60,25,20,65,70,40,2,5,3,5,4,4,5,5,4,2,4,6,5,5,2,1,1,2,1,1,1,"Republican","HappyW"
736,73,0,6,6,7,7,6,7,6,3,5,3,3,7,2,6,7,7,7,7,7,4,3,6,7,5,6,3,7,13,87,17,90,100,23,82,86,0,1,1,3,2,7,7,6,4,3,4,5,3,3,3,1,3,1,3,2,1,"Democrat","Control"
1032,66,1,6,4,7,6,6,6,5,5,7,6,7,7,2,6,7,6,6,7,7,7,6,7,7,7,7,7,7,92,4,94,0,2,92,1,0,0,2,2,2,2,1,1,2,4,7,2,7,6,7,5,5,1,5,1,1,1,"Republican","HappyP"
816,87,1,6,6,6,6,6,6,7,7,7,4,9,7,2,6,6,6,6,5,5,7,4,5,6,4,6,6,6,91,44,88,55,46,79,16,47,2,6,5,5,4,5,5,5,4,4,5,5,4,5,5,4,1,4,4,1,4,"Republican","HappyW"
1020,74,1,4,5,7,7,7,7,7,7,7,4,10,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,100,0,100,66,57,89,55,0,4,4,4,4,1,1,1,4,2,4,6,4,4,3,2,1,3,4,1,3,"Democrat","HappyP"
622,59,1,6,6,7,6,4,5,7,7,7,4,9,7,2,6,6,4,6,5,7,7,1,7,5,7,5,7,7,100,6,100,20,49,90,80,60,46,4,4,4,3,6,6,6,4,3,3,3,5,3,5,3,2,4,3,2,1,"Republican","Control"
932,79,0,6,6,6,7,6,6,7,3,6,2,10,7,2,7,7,6,7,7,6,7,5,4,6,6,5,6,7,83,0,39,17,0,100,49,39,0,4,4,4,4,6,6,6,4,1,4,7,3,3,1,2,1,5,2,1,2,"Republican","HappyW"
1328,77,0,6,3,5,5,6,6,6,6,6,1,8,4,2,5,6,6,5,4,5,6,4,5,6,4,4,5,4,100,0,84,0,0,75,35,51,0,1,1,1,1,4,3,4,1,1,1,1,1,3,4,4,2,4,2,1,1,"Republican","HappyW"
