"duration","age","gender","race","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","post_emotion_good","post_emotion_happy","post_emotion_tired","post_emotion_tense","panas_1","panas_2","panas_3","panas_4","panas_5","panas_6","panas_7","panas_8","panas_9","panas_10","ft_rep_sup","ft_dem_sup","ft_rep","ft_dem","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_neonazi","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","partisanship","condition"
430,52,1,5,5,5,5,5,5,6,4,4,2,5,4,2,5,5,5,5,5,5,5,5,5,6,4,7,4,5,0,70,0,70,50,0,70,50,0,4,1,4,6,4,4,4,4,2,4,6,4,6,3,1,1,1,3,1,1,"Democrat","HappyP"
750,25,1,5,5,5,3,2,2,2,1,5,1,2,2,2,3,2,1,3,1,3,5,1,1,1,1,5,1,2,34,71,16,81,83,23,92,83,0,1,1,1,1,3,5,1,4,1,1,1,1,1,4,1,1,1,2,1,1,"Democrat","HappyQ"
1252,53,0,5,6,7,7,7,6,7,7,7,7,0,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,30,100,0,100,94,31,100,93,0,4,4,4,4,6,7,7,4,4,4,4,4,4,1,1,1,1,1,1,1,"Democrat","HappyW"
707,43,1,4,4,7,7,7,7,7,5,7,1,5,6,2,7,7,7,7,5,7,7,7,7,7,7,7,7,7,53,100,56,100,100,55,100,74,0,1,1,2,2,7,7,7,7,3,1,7,5,5,3,3,4,1,5,2,1,"Democrat","Control"
2018,37,0,6,7,7,7,2,7,7,5,7,4,10,7,2,7,7,2,7,5,6,6,5,5,5,3,7,7,6,100,56,100,0,58,64,100,59,0,6,3,3,4,7,7,7,4,1,4,7,4,4,1,1,1,1,1,2,1,"Republican","Control"
250,21,1,4,3,4,4,5,4,5,4,4,5,7,4,2,7,7,7,7,6,6,4,4,5,4,4,4,4,6,19,82,0,78,93,66,73,75,17,4,5,4,4,4,4,5,4,5,4,5,4,4,3,3,3,3,3,3,3,"Democrat","HappyW"
1404,26,1,5,5,5,5,3,4,5,5,5,5,7,4,2,5,5,3,3,3,3,2,3,3,3,1,3,3,3,24,81,28,62,20,20,92,14,18,3,3,3,3,4,4,4,4,4,5,5,5,5,4,1,3,3,4,2,2,"Democrat","HappyP"
549,31,1,3,3,4,4,4,5,4,4,4,4,6,4,2,5,4,4,5,4,4,4,4,4,4,4,4,4,4,49,51,51,51,51,52,61,51,51,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,4,"Democrat","HappyQ"
994,38,0,5,5,6,5,6,7,7,6,7,5,0,7,2,7,7,7,7,7,6,7,4,7,6,6,7,7,5,0,100,0,100,100,0,100,81,0,1,3,2,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,1,"Democrat","HappyP"
921,20,1,5,5,4,3,2,2,6,4,5,4,3,5,2,5,3,2,2,1,5,5,2,5,5,1,2,2,5,30,74,5,80,86,14,68,100,0,7,7,7,7,4,6,2,1,1,1,7,7,6,1,1,2,1,2,2,1,"Democrat","HappyW"
437,40,0,6,7,7,7,7,7,7,7,7,7,10,7,2,7,7,7,7,7,7,7,7,7,7,7,7,6,7,99,99,100,99,99,97,98,100,100,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,"Republican","Control"
655,40,1,5,5,7,7,5,7,7,6,7,6,6,5,2,7,7,7,7,5,5,5,5,5,5,5,5,4,5,17,85,23,80,48,55,84,80,0,4,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,1,3,3,4,"Democrat","HappyQ"
265,33,0,4,3,5,7,4,5,7,5,7,7,9,5,2,6,2,3,4,4,4,3,5,2,5,4,6,4,3,75,87,3,95,70,8,66,64,28,1,1,1,1,1,1,1,1,1,1,6,1,7,3,2,2,2,2,2,4,"Democrat","HappyW"
302,30,0,1,3,7,7,7,7,7,7,7,7,10,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,100,100,100,100,100,100,100,100,100,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,4,"Republican","Control"
1855,50,1,4,3,7,7,4,7,7,7,7,7,5,2,2,7,7,7,7,7,7,7,7,7,4,7,7,4,7,0,100,0,100,100,0,100,100,0,1,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,1,"Democrat","HappyP"
483,35,1,5,3,4,4,2,3,5,4,4,1,3,5,2,4,3,2,3,3,4,4,1,2,4,1,2,1,4,31,51,30,56,58,40,50,68,0,4,4,4,4,5,6,5,4,4,4,7,5,4,1,1,1,1,1,3,1,"Democrat","HappyQ"
19538,41,1,3,3,7,7,6,7,7,7,7,7,9,5,2,7,6,6,6,6,6,6,7,6,6,6,6,6,6,100,9,100,0,7,100,16,2,48,1,1,1,1,1,1,1,1,1,1,7,1,7,4,5,1,3,2,1,1,"Republican","HappyP"
666,18,0,4,5,3,2,1,7,7,7,7,5,0,4,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,33,100,23,100,65,42,100,100,0,3,3,3,5,7,7,7,5,7,5,4,4,3,5,4,3,1,5,1,4,"Democrat","HappyQ"
469,34,1,5,3,6,6,6,6,5,4,5,4,8,5,2,6,6,6,6,6,6,5,4,6,6,5,4,6,6,64,58,57,66,57,55,60,61,40,4,4,4,4,5,5,5,6,5,5,6,7,7,4,5,4,4,5,5,2,"Democrat","HappyW"
2049,39,0,6,5,3,5,7,5,5,6,7,5,8,7,2,6,6,4,7,5,4,4,5,7,5,6,3,7,6,55,83,70,25,97,75,38,77,8,2,4,2,6,7,3,5,4,5,3,5,7,2,4,2,5,4,4,3,2,"Democrat","Control"
300,35,1,5,3,3,4,2,1,4,3,3,5,4,4,2,4,6,4,4,4,4,4,4,3,5,4,4,5,3,0,100,0,100,50,100,85,29,50,3,3,3,3,3,3,3,4,4,4,4,4,4,2,3,3,3,4,3,1,"Democrat","HappyP"
410,32,0,5,3,7,7,1,7,7,7,7,5,10,5,2,7,7,1,7,6,7,5,5,6,7,7,6,6,7,76,8,90,15,27,30,47,31,78,4,3,4,5,5,5,5,5,5,3,3,3,4,4,2,4,2,5,2,1,"Democrat","HappyW"
426,54,0,5,3,6,6,5,6,4,4,4,3,5,4,2,6,6,6,5,4,4,4,3,4,5,4,4,4,6,49,64,24,75,50,50,50,50,10,2,3,3,3,4,4,4,2,3,3,6,6,5,4,1,4,2,3,3,1,"Democrat","HappyQ"
