"duration","age","town_size","gender","edu","attitude_government","ideology","interest","attention_check","ft_inparty_supporter","ft_outparty_supporter","ft_govern_sup","ft_govern_opp","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","ft_neonazi","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","pids_1","pids_2","pids_3","pids_4","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3R","trait_4R","trait_5R","trait_6","Happy","Angry","Anxious"
384,38,1,1,3,"supporter",5,4,2,72,37,69,23,72,32,45,50,30,52,48,16,4,2,3,1,3,1,1,"HappyW",6,5,4,4,1,2,1,1,7,7,7,6,5,4,4,4,1,0,0,0
1154,49,2,1,4,"supporter",9,4,2,94,30,94,50,94,30,93,94,10,80,70,70,2,2,2,1,3,2,1,"HappyW",6,6,5,2,4,4,4,4,6,6,6,4,4,1,4,1,4,0,0,0
1375,44,1,1,4,"supporter",4,4,2,73,6,49,45,74,1,60,42,22,78,21,0,5,5,5,3,4,4,2,"HappyW",1,2,4,3,3,4,4,3,4,4,4,5,4,4,4,4,4,2,0,0
558,39,5,1,6,"supporter",10,5,2,33,40,78,62,65,50,63,70,47,35,65,48,4,4,3,4,4,4,4,"HappyW",5,5,5,5,5,5,5,5,4,3,4,6,5,6,7,7,5,0,0,0
322,55,1,1,3,"supporter",7,4,2,85,1,90,47,88,3,47,49,31,50,49,2,2,3,2,2,2,3,1,"ControlW",5,5,5,4,5,4,5,4,7,7,7,5,4,4,4,2,4,0,0,0
321,61,4,1,4,"opponent",4,1,2,42,0,24,26,46,7,27,27,1,30,0,1,5,5,3,2,5,3,1,"ControlW",4,4,4,4,2,1,1,2,4,4,4,1,1,7,1,1,1,0,0,0
295,36,4,1,6,"supporter",5,4,2,71,18,50,50,46,21,50,50,50,50,50,1,4,3,3,2,2,2,1,"ANGW",4,5,5,3,5,4,5,4,7,7,7,4,4,4,4,4,4,0,1,0
6466,43,1,1,3,"opponent",5,4,2,72,1,54,49,64,1,53,51,10,18,3,9,4,4,3,1,4,1,2,"ANGW",5,5,5,2,1,2,2,1,4,4,4,2,4,7,7,7,1,0,1,1
309,34,1,1,4,"supporter",10,2,2,50,48,48,52,42,35,50,50,8,53,52,0,5,5,3,4,5,3,4,"ControlW",4,4,4,1,4,4,4,4,6,6,6,4,4,4,4,4,4,0,0,0
374,47,1,2,3,"opponent",5,2,2,66,16,13,80,65,18,50,51,41,29,50,2,3,4,3,2,4,2,3,"ANXW",6,5,4,2,3,4,5,4,5,6,2,4,3,6,6,4,2,0,0,0
953,58,1,1,6,"supporter",10,7,2,99,0,100,0,100,0,0,51,0,1,0,0,4,5,5,4,5,5,2,"ANGW",7,7,7,7,1,1,1,1,4,4,4,7,1,7,7,7,1,0,0,0
541,30,1,1,4,"supporter",10,5,2,50,65,80,70,65,68,83,60,75,73,72,48,3,5,3,4,4,4,4,"ANGW",6,5,5,6,5,5,5,5,5,4,6,5,5,6,6,5,5,0,1,0
493,69,1,2,3,"supporter",10,6,2,99,0,99,2,99,1,52,88,77,31,5,1,3,4,3,1,3,1,3,"HappyW",7,7,7,7,1,1,1,1,4,4,4,3,1,6,4,4,1,1,0,0
300,29,4,1,3,"opponent",5,3,2,85,49,47,51,83,15,51,49,49,48,49,10,4,3,4,2,4,2,5,"ControlW",5,4,5,4,4,4,4,4,5,5,5,4,4,4,4,4,4,0,0,0
1727,28,4,1,4,"opponent",5,5,2,99,14,52,15,97,1,98,98,3,91,50,7,4,4,3,2,4,2,2,"ControlW",4,4,2,1,4,4,2,3,7,7,7,4,4,4,4,4,4,0,0,0
472,31,5,1,4,"opponent",2,6,2,66,0,2,73,81,1,69,27,10,23,0,0,3,5,1,2,5,1,2,"ANXW",7,7,7,1,2,2,2,2,4,4,4,1,2,6,6,6,2,0,1,0
675,49,4,2,6,"supporter",10,5,2,73,0,0,100,72,0,48,57,78,75,0,0,3,1,1,1,2,1,1,"ControlW",1,1,1,1,6,6,6,6,7,7,7,6,6,1,1,2,6,0,0,0
633,20,2,2,3,"supporter",10,6,2,86,31,85,29,87,16,33,86,51,30,82,0,1,5,1,1,5,1,1,"ANGW",6,6,5,3,2,2,2,1,4,4,4,6,4,6,4,4,2,0,0,0
617,45,1,1,3,"opponent",3,2,2,66,19,29,57,72,18,60,35,48,47,26,3,2,3,4,3,2,3,2,"HappyW",2,2,4,2,2,2,4,5,6,7,6,4,4,5,4,4,4,2,0,2
357,36,1,1,3,"supporter",7,5,2,98,30,41,49,76,46,61,54,39,71,80,2,4,4,4,3,4,3,4,"HappyW",3,3,4,3,5,5,5,6,6,6,5,6,6,4,3,2,6,1,0,0
463,50,2,2,2,"supporter",6,2,2,75,5,55,40,75,15,50,65,62,50,6,0,2,4,3,2,4,2,2,"HappyW",3,4,3,4,5,3,5,4,6,6,4,4,5,4,5,4,5,2,0,0
699,63,3,2,4,"opponent",5,7,2,53,3,5,87,65,5,55,39,51,54,0,0,4,2,2,3,2,2,2,"ANXW",6,4,6,6,4,4,4,1,5,6,5,4,3,4,4,2,4,0,0,1
857,55,4,2,3,"supporter",7,6,2,100,4,96,24,95,1,58,91,69,57,82,0,3,4,2,4,4,2,1,"ControlW",6,6,7,6,5,5,5,5,6,6,5,5,4,5,4,4,5,0,0,0
309,32,2,1,5,"opponent",5,1,2,47,2,21,75,51,0,47,49,43,65,50,0,4,3,3,3,3,2,1,"ANGW",5,5,5,4,2,2,4,2,4,6,4,4,4,4,4,4,4,0,0,0
860,28,1,2,6,"opponent",10,6,2,97,1,45,40,97,5,10,92,45,6,74,0,3,3,3,3,3,3,2,"ANGW",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0
660,56,1,2,3,"opponent",5,4,2,72,73,44,66,79,66,53,54,36,62,54,4,4,2,4,2,4,3,1,"ControlW",5,5,5,3,5,5,5,5,5,5,5,4,4,5,5,4,3,0,0,0
628,62,3,1,6,"opponent",1,6,2,99,0,1,99,100,0,90,9,81,97,0,0,4,4,4,1,4,4,2,"ANGW",7,7,7,5,1,1,1,1,4,4,4,2,1,1,1,3,1,0,1,0
677,33,1,2,6,"supporter",9,6,2,72,29,70,23,73,0,28,71,34,28,54,24,2,5,3,3,3,3,5,"HappyW",6,6,6,6,2,1,2,2,4,4,4,6,6,6,6,6,2,1,0,0
1287,37,3,1,2,"supporter",5,3,2,75,29,63,36,61,29,54,66,44,75,22,19,5,4,4,2,5,3,1,"ANGW",5,5,4,2,1,2,2,2,7,6,6,5,4,4,4,1,5,0,2,0
615,27,1,2,6,"opponent",0,4,2,91,11,46,91,95,4,88,14,83,83,16,2,4,3,3,3,3,3,1,"ANGW",4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,0,0,0
4891,20,4,2,3,"opponent",8,6,2,100,0,27,53,100,0,0,69,0,0,45,26,4,3,2,3,3,2,2,"ControlW",4,5,4,1,6,6,6,6,7,7,7,4,4,4,4,4,4,0,0,0
1208,48,2,2,3,"supporter",9,6,2,90,0,87,31,80,1,11,87,32,2,51,7,2,5,2,4,5,3,2,"ControlW",6,6,5,4,2,1,2,1,3,4,4,2,2,6,6,5,2,0,0,0
8702,66,5,2,6,"opponent",1,6,2,94,31,46,57,100,5,100,12,47,87,0,0,3,1,3,2,4,3,3,"ANXW",4,2,4,1,2,2,2,4,5,4,4,2,3,6,4,4,4,0,0,0
9766,35,3,1,6,"supporter",8,4,2,100,44,44,43,53,33,21,72,100,5,47,6,4,5,4,4,4,4,3,"ControlW",4,4,3,4,1,2,2,2,4,4,4,3,1,7,1,4,1,0,0,0
534,56,4,1,3,"supporter",5,4,2,27,16,81,27,90,12,19,34,35,22,16,10,2,4,3,3,3,2,5,"ANXW",6,6,6,5,5,5,5,5,4,4,4,5,5,4,4,4,5,0,1,0
573,24,2,2,6,"opponent",5,3,2,50,6,7,55,46,0,50,49,50,49,4,0,4,3,1,3,1,1,5,"ANGW",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0
461,24,5,1,6,"opponent",5,7,2,31,6,30,56,56,5,3,42,90,98,21,3,1,1,1,1,1,1,1,"ANGW",7,6,6,4,3,2,3,4,4,4,5,3,1,4,4,3,3,0,0,0
288,26,4,1,6,"opponent",2,6,2,93,2,2,94,82,2,85,14,25,41,37,0,4,2,1,1,3,2,1,"HappyW",7,6,4,7,2,2,4,2,3,2,4,4,2,5,5,3,2,1,0,0
301,48,4,2,3,"opponent",0,7,2,100,100,1,100,100,100,100,0,81,100,0,0,5,1,1,1,1,1,1,"ControlW",7,7,7,7,1,1,1,1,4,4,4,1,1,7,7,7,1,0,0,0
300,55,3,2,3,"supporter",8,5,2,92,2,89,13,93,4,13,95,2,2,2,1,3,4,2,2,4,1,1,"ControlW",5,5,6,5,3,2,2,2,3,3,4,3,3,6,6,5,2,0,0,0
676,34,4,2,4,"opponent",7,1,2,51,15,27,26,76,15,76,73,71,50,57,0,2,2,1,1,5,1,1,"ANXW",4,4,2,1,6,5,6,5,5,6,5,5,2,5,4,4,5,0,0,0
361,63,4,2,3,"supporter",10,7,2,100,0,100,50,100,0,0,100,25,0,50,0,2,5,3,4,5,3,3,"ANGW",4,7,7,7,1,1,2,1,4,4,4,4,1,7,4,4,2,0,0,0
3060,48,4,1,3,"opponent",6,6,2,74,1,3,97,66,1,68,4,15,99,1,1,3,4,1,1,4,1,1,"ControlW",6,6,5,5,3,4,5,5,6,7,5,4,3,3,4,2,4,0,0,0
1964,46,1,2,6,"supporter",5,5,2,64,0,56,44,64,0,51,51,24,14,11,0,2,4,4,1,5,3,2,"ANXW",3,2,3,4,3,3,3,4,4,4,4,4,3,5,4,4,4,0,0,0
643,24,1,2,5,"supporter",8,5,2,68,56,55,59,85,63,62,60,58,43,32,12,1,1,1,2,2,1,1,"HappyW",5,2,4,4,6,6,6,6,6,6,6,4,4,4,4,2,5,1,0,0
1065,20,4,1,3,"opponent",5,2,2,85,50,29,69,71,38,49,49,50,49,67,1,2,3,1,1,2,1,2,"HappyW",5,4,4,1,4,4,5,4,6,6,6,4,4,4,4,4,4,1,0,0
3233,29,1,2,4,"opponent",5,4,2,64,6,5,88,68,3,62,50,52,5,19,7,5,3,3,3,3,2,1,"ControlW",4,4,4,3,3,3,3,4,6,6,3,1,1,6,7,5,1,0,0,0
363,62,1,1,3,"supporter",8,4,2,88,17,76,73,92,12,91,88,92,10,79,74,4,2,3,4,5,1,1,"ANXW",5,5,4,5,5,4,4,5,6,6,6,4,2,5,5,5,2,0,1,0
646,30,1,1,6,"supporter",5,2,2,48,49,50,50,48,49,49,48,37,50,48,24,4,4,1,1,4,1,1,"ANGW",5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0
2663,65,4,2,3,"opponent",1,5,2,77,16,12,84,90,14,90,63,39,88,1,0,5,3,1,1,3,1,2,"ControlW",5,6,5,5,3,2,3,3,3,4,2,5,4,5,5,5,4,0,0,0
1247,33,1,1,6,"opponent",2,5,2,84,1,1,81,83,1,87,15,4,28,41,1,3,5,2,2,3,1,1,"ANXW",6,5,7,6,2,1,2,1,4,4,4,1,2,2,6,5,2,0,0,2
422,54,1,1,6,"opponent",3,2,2,94,4,13,94,75,5,90,46,50,45,2,2,1,2,2,1,2,1,1,"ANXW",5,5,4,5,5,2,4,2,4,2,5,2,4,4,4,4,4,0,1,0
463,40,1,2,3,"opponent",5,4,2,73,0,0,100,90,0,54,50,53,16,39,0,2,3,1,3,3,1,1,"HappyW",7,7,7,1,2,2,2,4,6,6,6,2,4,5,4,4,4,0,0,0
310,36,2,1,3,"opponent",0,4,2,74,0,1,98,88,1,87,1,52,56,0,0,1,1,1,1,1,1,1,"ANGW",7,7,7,5,1,1,1,1,4,4,4,4,6,5,5,5,7,0,0,0
6823,44,5,2,3,"opponent",5,4,2,88,100,100,37,69,86,49,12,8,7,0,16,3,4,3,3,3,3,3,"ControlW",4,4,4,4,4,6,6,5,5,5,4,4,5,4,4,4,5,0,0,0
688,36,1,2,5,"opponent",5,2,2,87,31,30,86,80,20,50,50,12,50,78,19,4,4,4,3,3,4,3,"ANXW",7,5,6,3,4,4,4,4,5,5,4,4,4,4,4,4,4,0,0,1
287,35,4,2,3,"supporter",7,4,2,51,17,56,40,83,27,45,46,10,30,23,7,4,4,3,3,4,2,1,"HappyW",5,5,5,4,4,4,4,4,2,3,3,3,2,3,5,2,2,1,0,0
792,23,3,1,3,"supporter",5,2,2,50,41,50,14,58,12,38,50,44,53,46,1,1,1,2,3,2,2,1,"ANXW",4,4,5,3,3,4,4,2,6,7,5,4,4,4,4,4,4,0,0,0
609,65,2,1,6,"opponent",4,4,2,94,22,16,65,73,0,75,48,35,88,18,0,3,3,4,2,4,2,4,"HappyW",6,5,4,2,2,3,4,3,6,5,6,3,3,4,6,4,3,1,0,0
343,71,4,2,3,"opponent",5,4,2,100,0,0,0,100,0,28,63,46,85,0,0,4,1,3,4,5,3,1,"ControlW",7,7,7,7,1,1,1,1,1,1,1,1,1,7,7,7,1,0,0,0
338,39,1,1,6,"opponent",5,5,2,71,1,2,0,84,3,51,50,2,87,51,2,3,1,1,1,1,2,3,"HappyW",7,7,4,4,5,6,6,4,6,6,4,6,6,1,1,1,5,1,0,0
478,41,1,1,3,"supporter",7,4,2,48,49,53,50,51,53,52,51,51,51,51,50,4,3,2,3,2,2,2,"ANXW",4,7,4,5,5,5,5,5,4,4,4,4,4,4,5,4,4,0,0,2
525,33,1,2,4,"supporter",8,4,2,74,0,72,31,62,0,29,79,49,21,79,15,4,4,3,3,4,3,1,"ANXW",6,5,4,5,4,4,4,4,6,6,5,4,3,5,5,4,4,0,0,0
682,67,4,2,3,"supporter",10,5,2,99,1,100,1,99,1,0,99,1,1,1,0,1,5,2,4,4,3,4,"ANGW",7,7,7,6,4,2,4,5,6,5,7,3,3,2,2,4,2,0,0,0
1121,66,1,2,6,"opponent",1,6,2,89,0,0,99,91,0,91,48,52,88,1,1,5,3,1,1,4,1,2,"ANXW",7,7,7,1,2,1,1,1,4,1,4,2,2,7,7,7,2,0,2,1
677,43,2,2,6,"opponent",2,4,2,85,24,50,49,84,11,70,51,52,38,1,2,2,1,1,1,2,5,2,"ControlW",7,7,2,3,3,5,6,5,5,6,5,2,4,6,6,1,5,0,0,0
765,42,1,2,2,"opponent",0,5,2,92,0,0,97,86,3,98,12,58,65,0,0,5,1,1,5,4,1,1,"ANGW",7,7,7,1,1,1,1,1,5,4,4,1,3,7,6,6,3,0,1,0
798,41,1,1,6,"opponent",5,4,2,68,3,29,57,64,6,62,39,28,50,0,0,4,4,2,2,3,1,5,"ANGW",6,6,4,5,1,2,2,2,5,4,5,2,1,7,5,6,2,0,1,0
646,37,2,1,6,"opponent",5,1,2,52,0,50,51,50,0,52,52,24,48,46,1,3,4,3,2,3,3,1,"ANGW",4,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,0,2,0
469,29,1,2,3,"supporter",5,5,2,73,11,50,23,88,7,77,81,78,17,7,0,2,1,1,1,4,2,2,"ANGW",4,1,2,2,2,3,2,3,7,5,6,6,6,5,6,2,4,0,2,0
605,57,1,2,3,"supporter",9,4,2,99,1,98,1,98,1,0,96,0,0,80,79,1,5,1,1,5,1,4,"HappyW",5,5,7,4,1,1,1,1,1,1,1,1,1,7,7,7,1,0,0,0
352,68,3,2,6,"opponent",2,6,2,82,0,8,94,85,2,52,21,55,53,12,2,1,3,1,1,5,1,3,"HappyW",4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0
712,69,4,2,3,"supporter",10,7,2,87,0,89,7,86,0,47,76,17,9,51,0,3,5,2,3,4,1,1,"ANXW",4,7,5,5,3,2,2,2,6,6,6,5,3,7,4,4,4,0,1,0
335,48,2,1,3,"opponent",0,4,2,76,2,5,86,73,6,75,1,47,60,21,3,3,3,1,3,1,1,2,"ControlW",1,1,1,1,3,2,3,4,5,5,5,4,4,4,4,4,4,0,0,0
552,28,4,1,3,"supporter",6,4,2,50,57,50,52,59,57,66,50,53,54,52,54,4,3,4,3,3,3,2,"ANXW",5,5,4,4,5,4,4,4,5,5,4,4,4,5,5,5,5,0,0,0
302,47,1,2,6,"opponent",0,7,2,90,0,0,100,90,0,100,0,75,85,0,0,1,1,1,1,1,1,3,"ANXW",7,3,7,5,1,1,1,1,3,1,2,1,1,7,7,7,1,0,1,0
321,49,1,1,2,"opponent",3,4,2,49,0,0,60,50,0,40,0,29,51,0,0,3,3,3,3,3,3,1,"HappyW",7,7,7,4,1,1,1,1,4,4,4,1,4,7,7,7,1,2,0,0
429,34,5,1,5,"opponent",4,6,2,72,45,40,70,64,29,70,50,62,70,2,0,3,2,1,1,1,2,2,"HappyW",6,7,5,5,4,4,5,4,6,6,4,3,2,4,4,2,4,2,0,0
589,35,3,2,5,"opponent",5,4,2,99,4,0,80,0,8,2,51,3,0,16,0,4,5,3,2,3,5,2,"ControlW",4,7,6,1,2,2,3,2,4,4,4,4,3,3,3,3,3,0,0,0
648,21,5,2,3,"opponent",3,5,2,79,0,54,56,71,0,65,0,49,0,0,0,1,1,1,1,1,1,1,"ANGW",7,1,4,1,4,2,4,5,5,7,5,3,4,6,4,1,4,0,0,0
630,40,1,2,6,"supporter",10,7,2,99,34,84,33,99,30,18,95,4,3,42,7,1,4,1,5,2,1,1,"ControlW",7,5,6,6,1,1,1,3,4,4,4,1,4,7,7,4,4,0,0,0
887,45,1,2,6,"supporter",6,4,2,75,2,54,26,84,5,22,70,74,31,5,2,4,3,4,3,2,3,1,"ControlW",5,5,5,4,4,4,4,3,4,4,4,4,4,4,5,4,4,0,0,0
556,35,4,2,4,"opponent",8,5,2,63,14,18,87,81,19,23,64,24,42,24,0,2,3,1,2,3,1,3,"HappyW",6,5,5,5,5,3,3,4,4,2,4,4,3,6,5,4,5,0,0,0
401,61,5,1,6,"opponent",3,7,2,91,11,14,100,80,0,80,40,70,60,0,0,4,1,1,1,1,1,4,"ANXW",7,7,7,6,5,3,5,3,4,2,3,3,2,6,4,4,5,0,0,0
281,46,1,2,6,"opponent",2,6,2,95,10,35,90,90,0,80,20,40,50,0,0,1,1,1,1,1,1,1,"ControlW",4,7,5,7,4,4,4,4,2,2,4,2,4,4,4,4,4,0,0,0
601,33,5,2,6,"opponent",4,5,2,51,33,9,88,62,0,64,23,53,71,0,0,2,1,1,1,1,1,1,"HappyW",7,4,5,5,3,3,3,3,3,4,3,3,1,7,6,5,3,0,0,0
670,45,1,1,2,"opponent",1,4,2,100,0,20,20,100,0,50,50,19,54,25,0,2,3,2,3,4,2,5,"ControlW",2,2,2,4,4,4,4,4,7,7,7,4,4,4,4,4,4,0,0,0
418,36,3,1,6,"opponent",8,4,2,95,51,42,66,99,51,49,50,51,100,1,1,2,4,3,1,4,3,1,"ANXW",7,7,7,1,4,2,2,2,7,7,7,1,1,4,4,1,4,0,0,2
613,21,1,1,4,"opponent",0,2,2,100,0,0,100,100,0,100,0,86,100,0,0,2,1,1,1,3,1,1,"ControlW",4,4,4,4,1,1,2,6,4,4,4,1,1,7,7,7,2,0,0,0
435,31,1,1,3,"opponent",5,1,2,11,14,8,6,7,8,0,2,7,10,7,10,3,3,3,3,3,3,1,"ANGW",7,7,7,1,1,1,1,1,1,7,1,1,1,7,7,7,1,0,0,0
4045,26,1,1,3,"opponent",5,3,2,39,45,37,51,50,29,48,50,17,26,25,14,4,4,2,2,4,1,3,"ANXW",5,5,5,1,3,2,3,2,4,4,4,4,4,5,5,5,4,0,0,0
443,56,3,1,3,"opponent",2,6,2,92,4,0,95,63,3,75,23,56,77,0,0,4,1,1,1,3,1,2,"HappyW",7,7,7,7,3,4,3,2,5,4,7,2,2,6,6,5,3,2,0,0
381,61,4,1,3,"opponent",3,5,2,65,7,16,73,68,7,68,39,56,62,2,2,4,4,3,1,4,2,1,"ControlW",7,7,7,3,3,2,2,7,3,2,4,4,3,4,5,4,4,0,0,0
684,27,1,1,3,"supporter",5,3,2,83,55,64,31,80,39,30,48,24,59,38,8,3,4,4,5,5,3,2,"ANGW",5,5,5,1,5,4,6,5,5,5,5,4,5,4,4,4,5,0,2,0
463,73,4,2,6,"opponent",5,6,2,63,1,0,99,60,0,17,0,58,58,0,0,3,2,1,1,2,1,1,"ControlW",7,7,7,1,2,1,2,2,1,1,1,3,2,7,7,7,2,0,0,0
646,31,1,1,6,"opponent",8,3,2,83,1,49,27,32,2,53,82,49,0,4,1,4,4,2,1,3,2,1,"ANXW",1,1,2,1,4,4,5,5,7,7,7,4,4,4,4,4,4,0,0,0
509,33,4,2,6,"supporter",10,7,2,97,0,93,100,90,12,0,88,37,18,17,2,1,5,3,1,4,3,1,"ANGW",7,7,7,7,1,1,1,1,2,3,1,1,1,7,7,7,1,0,1,0
532,55,3,2,6,"opponent",2,7,2,100,0,0,100,88,0,100,0,100,100,1,0,4,1,1,1,4,5,3,"HappyW",7,7,7,7,2,1,1,1,1,1,1,1,1,7,7,7,2,1,0,0
474,60,1,1,3,"opponent",2,4,2,50,14,1,80,50,14,80,1,1,16,1,0,4,4,2,3,2,2,1,"ANXW",3,3,4,2,4,2,2,2,4,4,4,3,4,7,5,4,2,0,0,2
488,60,1,1,6,"opponent",3,2,2,75,20,20,75,75,20,80,30,90,51,0,0,4,4,1,1,4,1,1,"ControlW",4,4,4,3,3,2,2,2,4,4,4,2,2,5,6,4,3,0,0,0
4283,57,3,1,4,"opponent",3,7,2,83,1,2,91,85,1,77,6,63,86,3,1,3,2,3,2,2,2,1,"ANGW",7,7,7,6,6,6,6,6,4,4,4,2,4,5,7,4,4,0,1,0
570,57,3,1,6,"opponent",3,6,2,99,7,2,98,83,1,81,41,67,100,2,0,3,3,1,1,3,1,3,"ControlW",7,7,7,1,2,2,2,2,1,1,2,1,1,7,7,7,1,0,0,0
767,20,1,1,3,"supporter",10,4,2,67,30,89,53,82,18,40,70,38,62,72,35,4,5,3,4,3,3,3,"ANXW",5,5,5,5,2,3,1,2,6,6,6,4,5,4,4,4,4,0,0,1
469,30,2,2,5,"supporter",5,4,2,81,13,80,18,86,14,48,52,22,44,52,12,2,2,3,2,3,3,1,"ANGW",6,7,6,5,4,4,4,4,5,5,5,4,4,4,4,4,4,0,0,0
649,41,4,2,3,"supporter",8,5,2,49,12,47,20,49,9,45,46,16,1,50,0,2,1,2,3,2,2,1,"ANXW",5,6,7,4,4,4,4,4,4,4,4,6,4,4,4,4,4,0,0,0
1602,40,3,2,6,"supporter",9,6,2,85,27,84,50,86,0,50,83,46,32,66,0,2,4,2,4,3,1,1,"ANXW",6,4,6,6,3,2,3,2,5,5,3,4,2,6,6,4,3,0,0,1
320,24,2,2,4,"supporter",6,5,2,64,23,56,54,73,22,50,53,32,68,45,48,4,4,4,4,4,3,4,"ANGW",5,5,5,5,5,5,5,5,4,3,4,6,6,6,5,6,6,0,1,0
470,62,2,2,6,"opponent",5,7,2,99,1,0,99,99,1,50,2,99,49,1,1,5,1,1,1,3,1,1,"ANXW",7,7,7,7,1,2,2,1,1,1,1,2,2,7,7,7,1,0,0,0
572,58,3,2,6,"opponent",2,5,2,84,27,24,74,79,26,78,32,69,65,17,0,3,2,1,1,3,1,3,"ANGW",4,6,4,2,2,2,3,2,2,3,3,3,2,5,6,6,3,0,1,0
3484,27,1,1,3,"opponent",5,3,2,80,36,61,10,64,46,49,47,78,81,58,12,3,3,1,1,3,1,4,"ANXW",5,5,7,5,1,2,4,2,4,4,4,2,4,5,6,5,1,0,0,2
419,62,1,2,6,"opponent",2,7,2,100,0,0,100,99,0,100,50,92,100,1,0,4,1,1,1,3,1,2,"HappyW",7,7,7,7,3,2,3,3,2,3,4,2,2,7,6,4,3,2,0,0
623,53,4,1,3,"opponent",2,5,2,96,1,3,83,88,1,89,0,50,80,1,0,3,3,2,3,2,2,1,"ControlW",7,7,7,2,4,3,3,3,4,3,4,4,4,4,4,4,4,0,0,0
1581,60,4,2,3,"supporter",6,5,2,58,0,61,26,58,0,17,28,0,48,79,0,3,3,3,3,4,2,1,"ANGW",5,5,5,4,3,2,3,2,4,4,4,6,2,6,2,6,2,0,0,0
681,70,3,1,3,"supporter",5,5,2,86,0,83,22,86,4,8,80,84,83,0,1,3,2,2,1,4,1,1,"ANXW",6,5,6,4,3,2,4,4,5,5,5,4,4,5,4,4,4,0,0,2
505,58,1,2,3,"opponent",7,4,2,80,4,0,90,80,4,18,40,40,79,0,0,4,3,2,1,3,3,1,"HappyW",4,3,4,1,2,2,3,3,4,5,4,4,4,6,5,4,3,2,0,0
3243,21,1,1,3,"supporter",4,4,2,93,12,79,0,100,3,30,25,13,35,84,25,4,3,4,2,4,3,2,"ANXW",4,4,5,4,3,3,2,3,4,4,4,4,4,5,5,5,4,0,0,2
567,23,3,2,1,"supporter",2,2,2,39,29,43,26,29,43,33,49,42,35,35,37,3,2,2,2,2,1,3,"HappyW",2,3,3,3,3,2,2,3,3,3,5,2,2,2,3,3,2,0,0,0
303,30,1,1,3,"supporter",10,5,2,53,7,52,52,72,0,43,53,8,35,51,2,5,2,3,5,4,2,1,"ControlW",4,4,3,4,2,3,4,3,3,3,2,2,4,3,5,5,5,0,0,0
540,32,3,1,3,"supporter",10,4,2,82,65,47,53,60,68,48,45,63,65,62,55,3,3,3,4,3,4,4,"ANXW",5,5,5,4,4,4,6,5,5,4,4,4,3,5,6,4,4,0,0,0
1431,22,2,1,2,"opponent",1,4,2,36,50,56,68,27,56,58,70,48,37,42,65,3,3,2,3,4,2,3,"ANXW",4,5,4,4,4,4,3,5,3,3,4,3,3,5,3,5,4,0,0,0
8110,50,4,1,4,"opponent",0,4,2,68,85,15,0,62,100,80,40,40,5,62,0,5,4,2,4,4,1,2,"ANGW",3,4,4,1,1,2,3,2,5,4,2,3,3,7,7,5,1,0,0,0
572,18,2,1,1,"opponent",6,4,2,62,18,23,63,89,18,46,55,65,71,37,3,3,3,3,3,2,1,3,"ControlW",6,6,2,6,3,2,4,3,5,2,4,2,3,6,7,5,3,0,0,0
354,18,3,1,1,"opponent",0,7,2,92,0,19,62,93,0,91,15,92,64,0,0,4,1,3,1,4,3,5,"ControlW",6,7,7,5,1,3,3,3,4,6,3,4,4,4,4,4,4,0,0,0
3195,24,2,2,6,"opponent",2,7,2,88,0,0,80,89,0,91,8,81,89,0,0,1,1,1,1,1,1,1,"ANXW",7,6,7,6,4,2,1,1,1,1,4,1,1,7,7,6,4,0,0,0
587,22,2,1,5,"opponent",3,1,2,100,0,46,43,100,0,47,45,0,50,52,0,3,3,3,5,3,3,5,"ControlW",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0
312,37,1,2,3,"supporter",9,1,2,75,88,100,73,100,100,51,77,60,75,43,97,3,3,3,3,3,3,1,"ANXW",5,5,5,4,5,7,4,6,4,5,5,4,6,5,5,4,5,0,0,0
428,30,3,1,6,"supporter",10,4,2,50,0,50,14,50,0,0,84,34,0,56,0,3,5,1,2,2,1,1,"ControlW",4,5,1,1,1,1,1,2,5,4,5,1,2,7,6,4,1,0,0,0
315,38,1,2,6,"supporter",10,6,2,99,2,83,16,94,0,11,86,13,27,81,6,1,5,1,5,3,1,1,"ControlW",6,6,6,1,1,1,1,1,4,4,4,1,1,7,7,7,1,0,0,0
640,24,4,1,6,"supporter",8,2,2,67,34,55,31,67,10,33,59,35,31,50,0,2,5,1,4,3,1,3,"HappyW",6,5,4,1,1,2,4,4,6,6,6,4,4,4,4,4,4,0,0,0
560,34,1,1,3,"opponent",6,4,2,42,87,48,40,77,45,42,28,15,43,35,25,3,3,3,3,3,3,3,"ANGW",4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,0,0,0
