"duration","age","town_size","gender","edu","attitude_government","ideology","interest","attention_check","ft_inparty_supporter","ft_outparty_supporter","ft_govern_sup","ft_govern_opp","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","ft_neonazi","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","pids_1","pids_2","pids_3","pids_4","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3R","trait_4R","trait_5R","trait_6","Happy","Angry","Anxious"
594,50,1,2,3,"supporter",7,4,2,90,3,89,13,93,5,20,87,14,3,90,1,4,5,2,2,2,3,5,"ANGW",5,5,6,5,2,2,2,2,4,4,4,2,2,5,5,5,2,0,0,0
326,42,1,2,2,"opponent",5,7,2,83,3,3,98,82,2,69,46,42,47,88,0,5,5,5,2,5,5,2,"ANXW",7,7,7,1,4,2,4,2,1,1,1,5,3,5,7,5,5,0,0,2
394,58,1,1,6,"supporter",10,5,2,99,1,99,1,99,1,9,98,46,38,6,0,2,5,2,4,3,2,2,"ANGW",7,7,7,5,1,1,2,2,4,4,4,6,4,7,6,6,1,0,1,0
324,20,1,1,3,"supporter",5,4,2,60,16,63,52,63,5,71,64,36,70,0,0,3,5,2,1,5,2,1,"HappyW",5,5,4,4,2,2,2,2,4,3,4,4,4,2,3,3,3,2,0,0
1949,45,3,1,3,"opponent",5,1,2,50,49,50,49,48,48,49,47,50,49,50,51,3,3,3,3,3,1,5,"HappyW",4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,2,0,0
599,19,1,2,2,"supporter",10,4,2,62,0,55,48,67,8,65,57,40,0,53,0,3,3,3,3,2,3,3,"ControlW",4,3,4,5,4,4,5,5,5,5,3,4,4,3,4,4,3,0,0,0
362,62,1,2,3,"opponent",4,4,2,78,7,16,71,80,1,73,30,44,56,2,1,4,5,4,4,5,4,1,"ANGW",5,5,4,5,3,3,3,3,6,6,6,4,4,4,4,4,4,0,0,0
384,50,1,1,6,"opponent",4,4,2,87,19,8,83,82,7,72,29,77,66,9,8,3,3,3,2,3,3,1,"ANGW",5,5,7,4,5,5,6,5,6,6,6,5,4,5,4,4,4,0,0,0
634,30,1,1,6,"opponent",5,5,2,59,10,14,61,64,23,37,51,12,0,57,0,5,2,2,4,3,1,1,"ControlW",4,4,4,1,1,2,4,4,6,6,6,1,1,1,3,4,2,0,0,0
657,56,5,1,6,"supporter",10,6,2,98,7,98,2,97,4,2,98,50,4,6,2,3,4,2,4,4,2,3,"ANGW",7,7,7,7,1,1,1,1,6,6,6,2,4,1,7,7,1,2,0,0
310,40,2,1,4,"opponent",5,4,2,80,25,16,32,60,10,36,29,17,43,28,34,3,3,3,2,3,3,2,"ANGW",5,5,2,4,2,2,2,3,4,4,4,4,4,4,4,4,4,0,1,0
450,36,1,1,4,"opponent",5,7,2,66,12,19,64,70,8,49,52,70,66,26,4,3,3,1,1,4,1,2,"ControlW",6,6,4,7,1,1,1,1,6,6,6,4,4,4,4,4,4,0,0,0
1142,67,5,1,3,"opponent",5,7,2,100,1,1,100,100,1,85,99,60,100,1,0,5,1,1,1,3,1,3,"ANXW",7,7,7,1,1,1,1,1,2,3,2,1,1,7,7,7,1,0,0,2
2201,20,3,2,3,"opponent",0,4,2,24,50,51,50,28,11,52,49,51,25,0,0,5,4,1,1,1,1,1,"ANXW",1,1,1,1,4,4,4,4,7,7,7,4,4,4,4,1,4,0,0,0
318,30,1,1,6,"opponent",3,4,2,97,24,8,73,98,1,58,40,35,70,12,1,3,3,1,2,1,1,5,"ANGW",7,7,7,7,2,3,3,3,4,4,4,4,2,5,4,4,2,0,1,0
680,54,1,2,5,"supporter",8,4,2,71,0,66,49,72,0,19,50,0,18,33,0,3,5,5,4,4,5,1,"ControlW",5,7,5,4,2,3,4,3,3,4,3,5,4,7,5,4,2,0,0,0
364,20,1,1,4,"supporter",8,4,2,72,45,58,17,67,48,60,68,17,77,52,34,3,2,1,1,2,1,2,"ControlW",4,5,6,3,4,4,5,6,5,5,5,4,4,2,2,3,4,0,0,0
