"duration","age","gender","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","sam","ft_inparty_supporter","ft_outparty_supporter","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","ideology_cat"
432,25,0,8,4,5,5,5,6,5,4,5,6,4,5,5,54,44,100,52,46,48,61,56,48,5,4,5,3,5,3,4,4,5,3,4,5,4,3,3,3,4,3,4,4,"ControlW","right"
1084,58,0,6,4,3,2,3,6,5,6,5,9,5,2,4,95,0,93,0,21,82,75,43,58,1,2,3,4,4,4,4,4,1,2,1,1,2,5,5,1,5,4,1,1,"HappyQ","right"
291,34,0,8,4,1,6,3,7,4,5,6,8,6,2,7,45,70,62,33,39,39,43,35,59,5,4,5,3,5,3,7,6,2,5,4,7,4,4,2,3,5,3,4,3,"ControlQ","right"
386,66,0,6,6,7,4,7,3,3,1,4,3,6,2,7,86,11,92,1,83,20,82,82,3,2,2,4,2,4,4,4,1,1,4,6,6,4,1,1,1,3,1,1,1,"ControlQ","left"
657,31,0,7,6,1,6,6,6,7,6,6,9,6,2,8,85,86,88,86,95,94,86,90,86,6,6,5,5,5,6,6,6,5,6,5,6,6,4,4,4,4,4,4,1,"HappyP","right"
740,53,1,5,5,4,5,5,4,4,4,4,4,4,6,7,72,26,70,26,63,35,85,39,48,4,4,4,4,5,2,3,4,3,4,4,3,4,2,1,1,1,1,3,2,"ControlW","left"
513,75,0,8,5,5,5,6,5,5,4,3,2,6,2,7,85,33,89,6,74,39,65,81,18,4,5,4,4,4,4,4,4,4,4,5,4,4,1,1,1,1,1,1,1,"HappyW","left"
462,40,0,2,2,3,3,3,4,4,5,3,6,5,2,3,55,20,75,0,50,50,60,50,25,5,2,5,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,1,"HappyQ","right"
668,50,0,5,2,2,3,3,5,4,4,2,2,5,2,3,70,20,40,20,51,20,51,0,0,3,4,4,4,7,7,7,4,3,4,5,6,4,1,1,1,1,1,1,1,"ControlQ","left"
212,40,0,7,7,6,4,3,6,5,4,5,7,7,2,7,94,92,95,97,79,100,91,99,84,5,6,5,5,5,6,6,7,5,4,6,4,6,4,4,4,3,3,4,1,"ControlP","right"
622,38,1,9,2,4,2,4,7,7,7,7,0,6,3,3,72,82,100,99,89,18,68,71,33,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,3,1,"ControlW","left"
503,72,0,8,7,7,5,7,4,4,4,1,6,7,2,7,82,7,88,10,44,61,36,73,43,1,1,3,2,6,6,6,4,2,4,6,6,4,5,4,3,3,3,2,1,"HappyP","right"
322,21,0,3,5,5,5,5,5,5,5,5,6,5,1,5,65,44,44,65,43,65,76,70,67,3,3,2,2,6,6,6,4,4,2,2,4,3,4,3,3,3,3,4,1,"HappyP","right"
382,40,0,6,5,4,3,6,5,5,5,5,6,5,2,5,73,0,74,0,41,72,14,48,59,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,2,2,4,2,1,"HappyW","right"
2742,57,1,4,5,4,3,5,4,3,4,4,6,5,2,8,80,30,100,29,40,54,50,50,40,3,2,4,4,3,4,4,5,5,4,5,4,4,4,1,2,2,2,2,1,"HappyP","right"
1078,44,0,5,5,4,3,6,4,4,4,4,4,4,2,5,61,51,51,51,56,52,55,44,64,3,3,4,4,5,5,5,5,5,5,5,5,5,3,3,4,2,2,3,1,"HappyW","left"
831,58,0,6,5,4,6,7,3,3,4,3,6,4,2,5,59,0,61,0,59,62,42,59,30,3,4,5,5,6,6,6,4,5,5,4,2,2,1,1,1,2,1,1,1,"ControlQ","right"
336,61,1,6,6,6,5,6,6,5,6,6,2,5,2,9,83,28,85,23,39,61,63,87,58,5,4,5,5,6,6,6,6,6,6,1,1,2,3,2,3,2,3,4,2,"ControlP","left"
575,31,0,8,4,4,4,4,4,3,4,4,3,4,2,5,60,43,61,13,45,32,55,41,29,3,3,3,3,4,4,4,3,3,3,5,5,4,3,2,1,1,3,2,1,"HappyQ","left"
1118,41,0,3,4,3,2,3,1,1,1,1,4,3,2,4,67,33,76,41,43,72,41,35,71,4,4,4,5,6,6,6,5,3,4,5,3,4,4,4,3,4,3,2,1,"ControlW","left"
359,51,0,6,6,6,5,6,6,6,6,4,8,6,2,8,91,6,92,6,32,80,15,67,81,4,4,4,5,5,5,5,4,4,4,6,4,4,4,5,2,2,4,2,1,"HappyP","right"
666,56,1,5,5,4,2,7,6,7,7,6,1,6,2,8,80,0,90,0,82,10,50,70,0,2,1,5,1,7,7,7,7,2,1,7,7,7,5,4,1,1,1,1,1,"HappyQ","left"
713,64,0,9,2,2,2,5,4,3,5,4,4,6,6,3,70,5,75,0,55,35,70,70,11,6,6,6,6,5,6,5,4,4,5,2,4,3,2,1,1,1,2,1,2,"ControlW","left"
335,50,1,6,7,7,7,7,5,5,5,5,9,6,2,9,36,40,68,19,31,81,46,43,53,1,1,1,1,5,5,5,3,2,2,4,3,3,3,2,1,2,1,1,1,"HappyW","right"
453,35,1,2,6,4,6,6,3,5,4,1,2,6,2,7,69,30,85,11,63,40,50,70,60,4,6,6,4,4,6,4,4,4,4,4,4,4,1,1,1,1,2,1,1,"ControlQ","left"
